epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.685,1.57208,1.29266,1.23011,0.73348,0.7762,0.78104,0.42789,1.64572,1.36979,1.22666,0.00333185,0.00333185,0.00333185
2,242.257,1.19581,0.79386,1.0217,0.83548,0.83205,0.87534,0.53072,1.52295,1.2682,1.18367,0.00654521,0.00654521,0.00654521
3,358.518,1.12947,0.71956,1.00086,0.86836,0.82711,0.89006,0.56087,1.57118,1.20619,1.22999,0.00963857,0.00963857,0.00963857
4,471.388,1.04804,0.65516,0.97816,0.90128,0.86585,0.92005,0.61074,1.48243,1.08802,1.1804,0.00946,0.00946,0.00946
5,585.954,0.95184,0.59117,0.95252,0.91573,0.88282,0.93239,0.63704,1.39289,0.99764,1.16155,0.00928,0.00928,0.00928
6,700.213,0.88586,0.54882,0.9349,0.91933,0.88522,0.93491,0.6516,1.3723,0.99103,1.16227,0.0091,0.0091,0.0091
7,814.426,0.83971,0.52011,0.92327,0.94399,0.88786,0.94517,0.67082,1.34535,0.94781,1.15545,0.00892,0.00892,0.00892
8,928.684,0.8099,0.49925,0.91561,0.94856,0.89362,0.94772,0.67788,1.33205,0.94096,1.15715,0.00874,0.00874,0.00874
9,1043.26,0.7869,0.48333,0.91006,0.94599,0.90617,0.95079,0.69188,1.29309,0.91248,1.13457,0.00856,0.00856,0.00856
10,1157.74,0.76597,0.47008,0.90432,0.95214,0.90676,0.95335,0.6939,1.2718,0.89396,1.1215,0.00838,0.00838,0.00838
11,1272.24,0.74608,0.45801,0.90003,0.95728,0.91052,0.95661,0.70259,1.25154,0.8783,1.1133,0.0082,0.0082,0.0082
12,1385.91,0.73388,0.44876,0.89712,0.95937,0.91171,0.95646,0.70751,1.26401,0.87226,1.12104,0.00802,0.00802,0.00802
13,1493.91,0.71692,0.43925,0.89489,0.96066,0.91315,0.95646,0.70976,1.23205,0.86281,1.10109,0.00784,0.00784,0.00784
14,1609.16,0.70659,0.43222,0.89082,0.96356,0.91289,0.9576,0.71452,1.22926,0.87103,1.10778,0.00766,0.00766,0.00766
15,1724.29,0.69718,0.42619,0.8892,0.96657,0.91483,0.95952,0.72209,1.19009,0.83477,1.08207,0.00748,0.00748,0.00748
16,1838.45,0.6822,0.4181,0.88629,0.96719,0.91563,0.95977,0.72572,1.19264,0.83319,1.09449,0.0073,0.0073,0.0073
17,1952.73,0.67978,0.41415,0.88471,0.96604,0.91991,0.96014,0.72648,1.18389,0.83039,1.08654,0.00712,0.00712,0.00712
18,2066.68,0.6663,0.40667,0.88285,0.9686,0.91944,0.96104,0.72894,1.1738,0.81541,1.08095,0.00694,0.00694,0.00694
19,2180.31,0.65594,0.40119,0.87905,0.97047,0.91727,0.961,0.72882,1.17394,0.8212,1.07855,0.00676,0.00676,0.00676
20,2288.65,0.64885,0.39515,0.87794,0.97107,0.91899,0.96125,0.73041,1.17615,0.81517,1.08527,0.00658,0.00658,0.00658
21,2403.53,0.64125,0.39285,0.87686,0.97273,0.91945,0.96218,0.73351,1.16747,0.81027,1.07947,0.0064,0.0064,0.0064
22,2518.63,0.63565,0.38874,0.87644,0.97158,0.92019,0.96222,0.73424,1.15958,0.81131,1.07434,0.00622,0.00622,0.00622
23,2633.96,0.62704,0.3831,0.87309,0.96971,0.92252,0.96242,0.73586,1.15546,0.80872,1.07022,0.00604,0.00604,0.00604
24,2749.4,0.62214,0.37983,0.87189,0.97021,0.92227,0.9625,0.73833,1.14984,0.80528,1.06864,0.00586,0.00586,0.00586
25,2864.44,0.61385,0.37555,0.87003,0.97157,0.92109,0.96243,0.73929,1.14663,0.80235,1.06774,0.00568,0.00568,0.00568
26,2979.69,0.61125,0.37421,0.86982,0.97153,0.92193,0.96268,0.74084,1.14626,0.79825,1.06964,0.0055,0.0055,0.0055
27,3094.97,0.6038,0.36995,0.86845,0.97247,0.92165,0.96283,0.74183,1.14556,0.79486,1.06979,0.00532,0.00532,0.00532
28,3210,0.59576,0.36561,0.86633,0.97296,0.92143,0.96317,0.74314,1.14261,0.79166,1.06897,0.00514,0.00514,0.00514
29,3325.07,0.59075,0.36179,0.866,0.97459,0.92109,0.96332,0.74395,1.1397,0.78849,1.06831,0.00496,0.00496,0.00496
30,3439.96,0.58432,0.35927,0.86525,0.9745,0.92158,0.96345,0.74455,1.13641,0.78481,1.0667,0.00478,0.00478,0.00478
31,3555.17,0.5804,0.35582,0.86366,0.97466,0.92144,0.96368,0.74582,1.13469,0.78155,1.06554,0.0046,0.0046,0.0046
32,3670.41,0.5732,0.35278,0.86193,0.97511,0.92153,0.96367,0.74704,1.13359,0.77942,1.06486,0.00442,0.00442,0.00442
33,3785.75,0.57033,0.34985,0.86171,0.97501,0.92143,0.96379,0.74807,1.13188,0.77758,1.06373,0.00424,0.00424,0.00424
34,3901.15,0.56714,0.34754,0.86015,0.97528,0.92179,0.96397,0.7487,1.13139,0.77669,1.06382,0.00406,0.00406,0.00406
35,4016.22,0.55658,0.34321,0.85978,0.97568,0.92138,0.96406,0.74942,1.12992,0.77534,1.06321,0.00388,0.00388,0.00388
36,4131.56,0.55181,0.34009,0.85683,0.97558,0.92153,0.96402,0.75037,1.12795,0.77367,1.06287,0.0037,0.0037,0.0037
37,4246.29,0.55143,0.34008,0.85861,0.97539,0.92213,0.96409,0.75142,1.12752,0.77196,1.06293,0.00352,0.00352,0.00352
38,4359.7,0.5426,0.3348,0.85498,0.97549,0.92198,0.96423,0.75222,1.12709,0.77073,1.06404,0.00334,0.00334,0.00334
39,4470.47,0.53943,0.3321,0.85592,0.97616,0.92203,0.96446,0.75295,1.1256,0.76936,1.0625,0.00316,0.00316,0.00316
40,4585.59,0.5311,0.32832,0.8539,0.97647,0.92202,0.96458,0.75358,1.12303,0.76703,1.06098,0.00298,0.00298,0.00298
41,4708.94,0.79309,0.4514,0.90747,0.97663,0.92228,0.96477,0.75474,1.1163,0.76218,1.05617,0.0028,0.0028,0.0028
42,4831.56,0.75525,0.43263,0.89631,0.97648,0.92257,0.96493,0.75668,1.11015,0.75591,1.05248,0.00262,0.00262,0.00262
