epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.0172,0.95785,1.90175,2.26066,1.4203,0.6074,0.51574,0.5161,0.31085,0.60813,0.51733,0.51719,0.36759,1.55621,4.11618,3.95503,1.96537,0.000664537,0.000664537,0.000664537
2,142.862,0.95296,1.39827,1.08912,1.41212,0.77674,0.55128,0.57212,0.28995,0.78866,0.55128,0.57086,0.4031,1.78336,3.8279,1.91338,1.89231,0.00130724,0.00130724,0.00130724
3,212.507,0.91938,1.41006,1.01907,1.39059,0.7931,0.5641,0.58905,0.3975,0.81113,0.57692,0.60949,0.46611,1.54618,4.26317,1.84809,1.68806,0.00192595,0.00192595,0.00192595
4,281.549,0.90172,1.36913,1.00436,1.36423,0.70027,0.61538,0.60283,0.42336,0.68422,0.60256,0.5854,0.47852,1.35419,3.83285,1.91305,1.56109,0.001892,0.001892,0.001892
5,351.382,0.85035,1.28185,0.90944,1.32794,0.87465,0.44872,0.53331,0.36561,0.90069,0.46517,0.54367,0.43696,1.39559,3.68582,2.00329,1.51587,0.001856,0.001856,0.001856
6,420.001,0.8157,1.23174,0.87242,1.29845,0.71844,0.48718,0.5001,0.36415,0.71844,0.48718,0.49941,0.41006,1.43682,3.54113,2.22817,1.54927,0.00182,0.00182,0.00182
7,489.42,0.78987,1.19572,0.84353,1.27202,0.785,0.61538,0.60049,0.41864,0.80203,0.62821,0.61647,0.49262,1.2697,3.51563,1.59616,1.48202,0.001784,0.001784,0.001784
8,558.761,0.75219,1.11373,0.80461,1.24171,0.80881,0.61538,0.6155,0.49758,0.82651,0.62821,0.62691,0.52349,1.11935,3.92284,1.72604,1.29322,0.001748,0.001748,0.001748
9,627.933,0.72574,1.14382,0.76683,1.22098,0.86452,0.52564,0.58646,0.47261,0.85938,0.5485,0.58708,0.50278,1.0898,2.99001,1.51506,1.34321,0.001712,0.001712,0.001712
10,696.805,0.71792,1.12001,0.75048,1.21548,0.77334,0.61538,0.61627,0.46533,0.77334,0.61538,0.61705,0.51126,1.10194,3.46549,1.55167,1.35638,0.001676,0.001676,0.001676
11,765.946,0.69772,1.14241,0.7255,1.20189,0.84143,0.57692,0.60637,0.4801,0.84143,0.57692,0.61016,0.507,1.09308,3.35462,1.72724,1.26992,0.00164,0.00164,0.00164
12,835.231,0.69206,1.10292,0.7268,1.20122,0.8176,0.60256,0.60019,0.4619,0.83595,0.61538,0.60487,0.47836,1.13573,3.25936,1.51906,1.27594,0.001604,0.001604,0.001604
13,904.504,0.69089,1.06875,0.70705,1.18798,0.84126,0.5641,0.61877,0.50212,0.76396,0.61538,0.62749,0.50798,1.07835,4.03019,1.46508,1.27095,0.001568,0.001568,0.001568
14,974.325,0.67585,1.05136,0.70365,1.18954,0.88702,0.60393,0.66214,0.52574,0.88702,0.60393,0.62982,0.52884,0.9677,3.50564,1.24798,1.19874,0.001532,0.001532,0.001532
15,1046.55,0.65259,0.98947,0.66889,1.16473,0.86368,0.58974,0.62747,0.50165,0.86368,0.58974,0.61914,0.52693,1.06731,3.2264,1.56942,1.2535,0.001496,0.001496,0.001496
16,1116.65,0.65002,0.98825,0.65762,1.16265,0.87977,0.57692,0.6369,0.53215,0.89932,0.58974,0.64273,0.54331,1.04063,3.57684,1.43142,1.26824,0.00146,0.00146,0.00146
17,1187.5,0.64625,0.99802,0.657,1.15648,0.824,0.62821,0.63945,0.51243,0.824,0.62821,0.63552,0.53359,1.10298,3.71204,1.37376,1.29353,0.001424,0.001424,0.001424
18,1258.33,0.63377,1.00132,0.64194,1.14543,0.88292,0.61538,0.65826,0.53217,0.88292,0.61538,0.6435,0.54317,0.99732,3.38702,1.40454,1.22843,0.001388,0.001388,0.001388
19,1328.4,0.61656,0.97127,0.60859,1.14133,0.96626,0.58974,0.66291,0.53788,0.94889,0.57692,0.65125,0.55018,1.09581,3.42727,1.42646,1.24589,0.001352,0.001352,0.001352
20,1398.27,0.59985,0.93715,0.60928,1.12524,0.95985,0.61307,0.6566,0.53631,0.90249,0.65385,0.65927,0.56872,1.04234,3.24413,1.37639,1.26347,0.001316,0.001316,0.001316
21,1470.1,0.59391,0.89159,0.59189,1.12414,0.89273,0.6402,0.64442,0.52807,0.89273,0.6402,0.63452,0.5485,0.8722,2.9548,1.46685,1.15172,0.00128,0.00128,0.00128
22,1540.47,0.58659,0.9574,0.56914,1.10694,0.83829,0.64103,0.65695,0.55173,0.832,0.62821,0.63568,0.55505,1.01132,3.05666,1.52426,1.22868,0.001244,0.001244,0.001244
23,1610.12,0.59981,0.91022,0.59148,1.13035,0.92937,0.57692,0.64899,0.51115,0.92937,0.57692,0.64848,0.5401,1.04662,3.0256,1.47573,1.27922,0.001208,0.001208,0.001208
24,1680.14,0.58879,0.85658,0.57661,1.11366,0.87459,0.6259,0.64835,0.53131,0.88377,0.62821,0.63297,0.56995,1.01619,3.31079,1.46093,1.2252,0.001172,0.001172,0.001172
25,1749.85,0.57778,0.87214,0.55881,1.10438,0.93593,0.58974,0.62487,0.52619,0.93593,0.58974,0.62487,0.54058,1.15832,3.07972,1.76169,1.37899,0.001136,0.001136,0.001136
26,1818.55,0.57293,0.86576,0.57276,1.09761,0.93179,0.60256,0.65696,0.53741,0.93179,0.60256,0.64634,0.55447,1.07568,3.51631,1.44466,1.27987,0.0011,0.0011,0.0011
27,1888.52,0.56513,0.82565,0.55445,1.09333,0.88055,0.60256,0.65071,0.54083,0.88055,0.60256,0.64975,0.56856,1.02059,3.32662,1.5018,1.288,0.001064,0.001064,0.001064
28,1957.63,0.54653,0.81896,0.53881,1.07818,0.90225,0.62821,0.68156,0.55182,0.90225,0.62821,0.67464,0.56536,0.99946,3.80044,1.27699,1.21327,0.001028,0.001028,0.001028
29,2026.79,0.54253,0.7909,0.51799,1.08296,0.92132,0.60055,0.64591,0.51459,0.92132,0.60055,0.64628,0.55363,1.1492,3.69717,1.62676,1.28048,0.000992,0.000992,0.000992
30,2095.55,0.55475,0.8117,0.52577,1.08839,0.86287,0.65385,0.65639,0.5588,0.88026,0.66667,0.67198,0.57546,1.03031,3.30441,1.35827,1.26011,0.000956,0.000956,0.000956
31,2164.87,0.54284,0.80903,0.51465,1.08169,0.86796,0.65385,0.67735,0.55447,0.86796,0.65385,0.67291,0.57437,1.0441,3.55179,1.43965,1.26998,0.00092,0.00092,0.00092
32,2239.21,0.53299,0.76573,0.5175,1.07131,0.91243,0.61538,0.65398,0.55759,0.91243,0.61538,0.65398,0.58186,0.96859,3.89743,1.38189,1.14307,0.000884,0.000884,0.000884
33,2308.44,0.53803,0.76549,0.50239,1.06882,0.97643,0.60256,0.67609,0.58001,0.97643,0.60256,0.67186,0.5939,0.93234,3.68462,1.23992,1.12176,0.000848,0.000848,0.000848
34,2382.75,0.51664,0.76113,0.50807,1.06577,0.92335,0.62821,0.65516,0.5577,0.92335,0.62821,0.65372,0.57189,0.97374,3.30211,1.4873,1.19579,0.000812,0.000812,0.000812
35,2451.1,0.51304,0.75028,0.48758,1.05401,0.89085,0.64103,0.66405,0.55037,0.89085,0.64103,0.65945,0.58658,1.05398,3.58962,1.45963,1.19956,0.000776,0.000776,0.000776
36,2519.17,0.50947,0.73399,0.49245,1.05035,0.86811,0.65385,0.66989,0.56978,0.86811,0.65385,0.66288,0.58843,0.87914,3.17466,1.1645,1.11953,0.00074,0.00074,0.00074
37,2587.47,0.49378,0.72159,0.47734,1.04969,0.85627,0.62821,0.6082,0.52734,0.85627,0.62821,0.6215,0.54013,0.987,3.36209,1.50289,1.21937,0.000704,0.000704,0.000704
38,2655.47,0.50112,0.73138,0.474,1.04545,0.88705,0.60416,0.65051,0.57737,0.88705,0.60416,0.64781,0.57289,0.89558,3.49092,1.31801,1.11565,0.000668,0.000668,0.000668
39,2723.13,0.49332,0.71305,0.47342,1.03759,0.90535,0.65385,0.66328,0.57675,0.90535,0.65385,0.65729,0.58111,0.89751,3.1469,1.31245,1.11592,0.000632,0.000632,0.000632
40,2792.38,0.48034,0.70083,0.448,1.03806,0.88807,0.61538,0.64536,0.56102,0.88807,0.61538,0.63864,0.56901,0.93587,3.40531,1.57031,1.11978,0.000596,0.000596,0.000596
