epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0207,0.47936,4.09798,1.41323,0.00381,0.41026,0.01574,0.00464,0.63205,5.05651,1.79839,0.0678462,0.000324786,0.000324786
2,18.571,0.4611,3.23031,1.34075,0.01895,0.4359,0.04078,0.01606,0.59046,4.22756,1.84376,0.0348356,0.00064759,0.00064759
3,26.927,0.44414,2.9733,1.30161,0.17279,0.12821,0.07439,0.01918,0.52573,4.32657,1.60126,0.00181443,0.000959726,0.000959726
4,35.1017,0.42876,2.72661,1.24662,0.22368,0.15385,0.09961,0.04355,0.4823,4.76317,1.50682,0.000952,0.000952,0.000952
5,43.1448,0.41157,2.5914,1.21949,0.19607,0.20513,0.10735,0.04879,0.52727,4.24065,1.61064,0.000936,0.000936,0.000936
6,51.257,0.41239,2.4565,1.19771,0.38452,0.20513,0.12244,0.04104,0.48548,4.17785,1.53646,0.00092,0.00092,0.00092
7,59.3916,0.40246,2.31805,1.18191,0.10344,0.28205,0.06651,0.02155,0.5776,4.57494,1.70053,0.000904,0.000904,0.000904
8,67.5149,0.39233,2.22892,1.15927,0.45061,0.17949,0.15796,0.07709,0.45809,4.11161,1.46757,0.000888,0.000888,0.000888
9,75.7087,0.38183,2.10432,1.13571,0.23824,0.25641,0.14413,0.06037,0.5172,3.90972,1.56502,0.000872,0.000872,0.000872
10,83.908,0.38263,2.08102,1.1279,0.27817,0.15385,0.10959,0.04093,0.5239,4.44496,1.62571,0.000856,0.000856,0.000856
11,91.9547,0.37522,1.97773,1.09934,0.22678,0.48718,0.21291,0.10385,0.42998,3.70178,1.39167,0.00084,0.00084,0.00084
12,99.9295,0.36519,1.86668,1.08323,0.19965,0.23077,0.13652,0.06073,0.50087,4.02213,1.50286,0.000824,0.000824,0.000824
13,107.976,0.36152,1.77938,1.06996,0.21009,0.28205,0.11244,0.03934,0.52286,4.35462,1.65019,0.000808,0.000808,0.000808
14,115.971,0.35301,1.70327,1.05594,0.25682,0.20513,0.14424,0.05552,0.51845,4.04263,1.54529,0.000792,0.000792,0.000792
15,123.94,0.34177,1.63749,1.0335,0.19274,0.17949,0.06749,0.02985,0.53955,4.75831,1.64475,0.000776,0.000776,0.000776
16,131.947,0.3461,1.62038,1.04536,0.28851,0.20513,0.14632,0.04458,0.54297,4.41704,1.78035,0.00076,0.00076,0.00076
17,140.06,0.33928,1.53714,1.01665,0.32411,0.25641,0.18175,0.07142,0.51598,4.04489,1.77048,0.000744,0.000744,0.000744
18,148.203,0.33203,1.48644,1.00274,0.18293,0.2871,0.10565,0.04597,0.51791,4.55727,1.68146,0.000728,0.000728,0.000728
19,156.268,0.3275,1.47086,0.99765,0.34389,0.30769,0.24302,0.11403,0.49134,3.34484,1.60744,0.000712,0.000712,0.000712
20,164.34,0.32307,1.4311,0.98967,0.27636,0.33333,0.17638,0.07994,0.48958,3.95009,1.62586,0.000696,0.000696,0.000696
21,172.495,0.31626,1.39215,0.97609,0.27217,0.28205,0.15537,0.06177,0.49868,4.42671,1.58403,0.00068,0.00068,0.00068
22,180.628,0.30847,1.31291,0.94779,0.25635,0.28205,0.13803,0.05994,0.51785,4.17683,1.6185,0.000664,0.000664,0.000664
23,188.74,0.30026,1.2818,0.94074,0.19313,0.25641,0.11299,0.0524,0.509,4.49377,1.63125,0.000648,0.000648,0.000648
24,196.73,0.30663,1.28096,0.94237,0.22727,0.20513,0.12155,0.05406,0.49296,4.43798,1.57393,0.000632,0.000632,0.000632
25,204.716,0.29467,1.24352,0.92115,0.12779,0.30769,0.11533,0.06641,0.50734,4.4918,1.64531,0.000616,0.000616,0.000616
26,212.822,0.29254,1.22573,0.92539,0.24403,0.28205,0.09744,0.03988,0.58308,4.60978,1.84272,0.0006,0.0006,0.0006
27,220.864,0.28702,1.20281,0.90614,0.29147,0.23077,0.15253,0.07547,0.53213,4.17878,1.68228,0.000584,0.000584,0.000584
28,228.859,0.28093,1.16287,0.89114,0.39324,0.25641,0.21039,0.10259,0.48735,4.01426,1.52573,0.000568,0.000568,0.000568
29,237.637,0.27342,1.14877,0.89436,0.28152,0.46154,0.27084,0.12175,0.5191,3.93415,1.61173,0.000552,0.000552,0.000552
30,245.763,0.27499,1.11208,0.88619,0.35719,0.28205,0.22541,0.10836,0.49739,3.87937,1.60975,0.000536,0.000536,0.000536
31,258.043,0.27071,1.08612,0.88172,0.24629,0.30769,0.19073,0.08014,0.49656,4.23646,1.71862,0.00052,0.00052,0.00052
32,269.241,0.26747,1.08078,0.87859,0.25335,0.30769,0.1834,0.08349,0.52122,4.612,1.81081,0.000504,0.000504,0.000504
33,280.26,0.26374,1.06758,0.87003,0.36447,0.28205,0.188,0.09708,0.47578,4.54024,1.5908,0.000488,0.000488,0.000488
34,291.237,0.26355,1.04323,0.86802,0.30341,0.30166,0.19054,0.10347,0.43587,4.40598,1.42995,0.000472,0.000472,0.000472
35,302.301,0.26088,1.04124,0.86029,0.49817,0.30769,0.30065,0.16269,0.44647,3.84359,1.45173,0.000456,0.000456,0.000456
36,313.338,0.25599,1.01342,0.85516,0.33636,0.30769,0.16962,0.07678,0.49773,4.50054,1.55835,0.00044,0.00044,0.00044
37,324.405,0.25532,1.01248,0.85393,0.32888,0.28205,0.20003,0.07173,0.56554,4.21502,1.90381,0.000424,0.000424,0.000424
38,335.517,0.24807,0.99146,0.84516,0.443,0.23077,0.16626,0.06173,0.56104,4.59743,1.90313,0.000408,0.000408,0.000408
39,346.855,0.24327,0.97503,0.83508,0.44775,0.25641,0.21045,0.08376,0.48015,4.48868,1.60637,0.000392,0.000392,0.000392
40,357.968,0.23674,0.92548,0.82545,0.27815,0.26693,0.18168,0.08489,0.47588,4.91691,1.58323,0.000376,0.000376,0.000376
41,370.692,0.23536,0.88982,0.82556,0.28557,0.28205,0.1845,0.08075,0.55864,4.83422,1.83706,0.00036,0.00036,0.00036
42,382.581,0.23018,0.84431,0.82326,0.36456,0.23077,0.20538,0.09177,0.56297,4.4287,1.87413,0.000344,0.000344,0.000344
43,393.811,0.22288,0.81723,0.8051,0.22743,0.33333,0.18083,0.09218,0.51783,4.76721,1.68768,0.000328,0.000328,0.000328
44,405.086,0.21549,0.80197,0.80123,0.39324,0.25641,0.18283,0.08384,0.5254,4.49144,1.76067,0.000312,0.000312,0.000312
45,416.118,0.21102,0.79411,0.79044,0.33322,0.20513,0.17193,0.07487,0.53522,4.98107,1.70058,0.000296,0.000296,0.000296
46,427.237,0.20956,0.77175,0.78494,0.26205,0.20513,0.15448,0.06966,0.54062,4.92516,1.7443,0.00028,0.00028,0.00028
47,438.97,0.20198,0.75362,0.77439,0.38277,0.20513,0.17815,0.07257,0.57116,4.70632,1.89732,0.000264,0.000264,0.000264
48,450.082,0.19592,0.73439,0.76422,0.31884,0.25641,0.15983,0.06478,0.56423,4.81673,1.97143,0.000248,0.000248,0.000248
49,461.165,0.18918,0.7113,0.7578,0.29367,0.33333,0.18035,0.07613,0.55736,4.82335,1.86702,0.000232,0.000232,0.000232
50,472.416,0.19226,0.71546,0.76054,0.35735,0.23077,0.19717,0.07784,0.52414,5.19815,1.79455,0.000216,0.000216,0.000216
