epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6448,2.09851,3.06821,1.68309,0.00908,0.58974,0.06302,0.02392,2.0492,3.29682,1.72315,0.000649573,0.000649573,0.000649573
2,31.7377,1.96948,2.37188,1.5711,0.08954,0.17949,0.06396,0.0247,2.56461,3.55452,2.52753,0.00129255,0.00129255,0.00129255
3,47.0156,1.94028,2.27688,1.57735,0.0923,0.12821,0.04895,0.01808,2.50777,3.88137,2.62738,0.00191152,0.00191152,0.00191152
4,62.147,1.88766,2.11214,1.52994,0.17321,0.23077,0.10062,0.0522,2.31271,4.05518,2.19235,0.001892,0.001892,0.001892
5,76.1658,1.82523,2.01758,1.49673,0.01789,0.58974,0.0138,0.00561,2.16124,6.23882,1.95413,0.001856,0.001856,0.001856
6,91.3478,1.79722,1.91792,1.49408,0.06116,0.28205,0.03799,0.01538,2.40978,4.14346,2.0246,0.00182,0.00182,0.00182
7,105.357,1.74086,1.75729,1.42701,0.25982,0.23077,0.1474,0.07344,2.37438,3.11784,2.15988,0.001784,0.001784,0.001784
8,119.158,1.67823,1.67619,1.39451,0.21222,0.20513,0.14618,0.04615,2.41121,3.39528,2.08166,0.001748,0.001748,0.001748
9,133.401,1.64439,1.59673,1.38112,0.26154,0.20513,0.14817,0.06074,2.3185,3.15727,2.04415,0.001712,0.001712,0.001712
10,147.582,1.6183,1.5488,1.364,0.21308,0.25641,0.12267,0.04919,2.14589,3.59799,1.78373,0.001676,0.001676,0.001676
11,161.366,1.55351,1.4588,1.31155,0.11005,0.38462,0.07125,0.02644,2.18901,3.15744,1.97363,0.00164,0.00164,0.00164
12,174.889,1.51422,1.37365,1.28493,0.09083,0.38462,0.09344,0.04305,2.29702,3.15053,2.0535,0.001604,0.001604,0.001604
